0,theta,r
CCNJ,1.86294,46.0895
CCNK,4.80897,39.6253
CCNO,3.24164,44.9873
CCNQ,5.667,43.4286
CCNY,1.40643,42.7305
CCR1,0.784727,40.4628
CCR2,0.759296,41.807
CCR3,0.751899,41.649
CCR4,0.77838,42.9888
CCR5,0.768034,40.0289
CCR6,1.22193,46.0582
CCR7,1.21513,45.165
CCR8,0.786171,44.8419
CCR9,1.0222,58.0149
CCT2,2.98072,37.1484
CCT3,2.99647,36.64
CCT4,2.861,37.4914
CCT5,2.87163,38.3234
CCT7,2.79962,37.1981
CCT8,2.86455,38.3309
CCZ1,2.6586,43.6344
CD14,1.10851,40.2714
CD19,1.5504,41.6368
CD1A,5.84759,46.8213
CD1B,0.029314,39.3476
CD1D,0.0943181,46.0353
CD1E,0.0561756,41.0394
CD22,1.53274,42.2211
CD24,1.68098,46.9869
CD27,0.173923,40.9893
CD28,1.53766,42.5059
CD33,0.595049,40.9621
CD34,1.57804,45.7562
CD36,1.51828,42.9211
CD37,0.441107,44.8248
CD38,1.57755,44.9221
CD3D,0.101614,43.1773
CD3E,0.363665,40.7178
CD3G,0.415115,41.8466
CD40,2.06499,39.4281
CD44,1.60796,38.1778
CD46,0.676231,42.6158
CD47,0.160749,40.4065
CD48,1.16561,43.9534
CD52,0.634041,46.0355
CD53,0.560905,39.1562
CD55,1.21679,40.9453
CD58,0.263289,43.3223
CD59,2.44819,41.7457
CD5L,1.25445,57.9678
CD63,0.356344,42.2077
CD68,0.843009,41.342
CD69,0.430501,42.3667
CD70,1.04867,38.6457
CD72,0.49598,42.0992
CD74,0.502326,40.5127
CD80,1.55028,45.9469
CD81,0.718272,40.4086
CD82,0.809385,42.2055
CD83,0.761417,39.8436
CD84,1.82542,58.521
CD86,1.55096,47.1914
CD8A,0.0963622,43.1621
CD8B,0.11056,45.3794
CD93,6.0106,42.2525
CD96,6.08608,42.541
CD99,1.08311,47.0689
CDC6,3.64967,39.3362
CDC7,4.70362,39.7493
CDH1,1.60605,38.9335
CDH2,2.39909,40.0117
CDH3,1.60963,44.2395
CDH4,2.37564,45.79
CDH5,1.11205,38.4505
CDH8,1.47443,42.1071
CDK1,3.02301,34.4148
CDK2,3.64132,34.3574
CDK3,3.5989,38.6387
CDK4,4.05502,36.2127
CDK5,1.6839,36.2079
CDK6,3.95807,38.1224
CDK7,4.0923,37.5864
CDK8,3.60239,38.4531
CDK9,4.02684,37.5668
CDNF,6.04419,45.5201
CDO1,1.94253,43.6403
CDON,0.20631,42.6657
CDR1,0.727242,44.146
CDR2,5.17264,38.513
CDS1,0.402997,41.6694
CDS2,0.52538,42.2562
CDSN,4.98726,40.5223
CDT1,3.60868,40.8187
CDV3,1.9051,40.2175
CDX1,3.7911,39.6647
CDX2,3.07181,43.1962
CDX4,4.97862,44.4202
CDYL,4.44937,41.1744
CER1,6.14014,43.0291
CERK,5.5145,39.1595
CES1,0.591284,43.6786
CES2,6.07149,48.4658
CES3,6.07831,44.776
CETP,1.43662,45.1841
CFC1,5.67453,48.1891
CFL1,2.27468,37.9764
CFL2,2.23771,39.8836
CFTR,1.76715,39.9598
CGAS,3.68593,44.379
CGB1,3.47907,48.5257
CGB2,3.5044,43.0138
CGB3,5.44196,47.0104
CGB5,5.42444,49.4316
CGB8,1.29435,45.8731
CHAD,6.20321,45.742
CHAT,1.71368,43.7141
CHD1,3.97167,42.5042
CHD2,5.30384,42.9979
CHD3,4.19929,38.233
CHD4,4.40295,40.1115
CHD5,4.31598,43.7397
CHD6,2.56628,44.9496
CHD7,3.58546,45.9132
CHD8,4.2116,40.9429
CHD9,4.20789,41.8362
CHDH,1.96616,43.7421
CHFR,4.50807,41.8717
CHGA,5.51672,43.7581
CHGB,2.13609,40.5073
CHIA,5.68839,41.5368
CHKA,1.53729,47.7645
CHKB,1.62439,49.3741
CHL1,1.04657,45.3573
CHML,1.37379,41.7613
CHN1,2.35972,42.6004
CHN2,1.52029,42.6062
CHP1,1.30001,43.9884
CHP2,0.341503,46.8456
CHPF,6.21735,45.7788
CHRD,5.39646,40.3824
CHUK,2.70529,37.3943
CIB1,2.51262,40.8125
CIB3,5.29648,39.8148
CIB4,5.62618,43.1978
CINP,4.91929,40.1887
CIPC,4.4226,44.5501
CIR1,4.10398,41.4761
CISH,1.55693,42.1198
CIZ1,5.63558,42.2515
CKLF,0.371228,45.8094
CKS2,3.17467,41.2943
CLGN,1.37496,41.5243
CLK1,4.42531,39.1307
CLK2,4.22058,37.2953
CLK3,4.45718,38.5894
CLK4,5.51072,42.0635
CLMN,1.89966,58.0939
CLMP,1.06708,44.2173
CLN3,0.33823,44.5891
CLN5,6.10481,41.7343
CLN6,0.507573,41.8681
CLN8,1.21316,48.007
CLNK,1.65947,46.6412
CLP1,4.53514,41.7218
CLPB,1.98974,41.8842
CLPP,5.79068,40.2647
CLPS,6.02315,45.8126
CLPX,1.45722,40.874
CLTA,2.46884,39.907
CLTB,2.45551,39.3789
CLTC,1.50882,36.3971
CLUH,3.08635,40.9698
CMA1,1.80229,44.3767
CMAS,4.08615,42.7696
CMBL,2.93785,44.6884
CMC1,1.4568,46.5676
CMC2,4.95963,46.2989
CMC4,3.04658,47.3097
CMIP,4.98861,45.343
CNBP,3.76966,37.8986
CNFN,5.08226,42.6588
CNMD,0.297695,45.9762
CNN1,2.55125,43.2146
CNN2,2.39363,41.8242
CNN3,2.39564,44.1341
CNR1,1.17616,43.8347
CNR2,0.447333,41.4696
CNST,3.94707,45.4451
CNTF,5.52701,41.1607
COA1,0.109981,43.6758
COA3,3.16287,57.9828
COA5,5.39112,46.2868
COA6,4.95234,45.6181
COA7,2.32607,42.2367
COBL,2.46488,40.9634
COCH,6.06262,43.0915
COG1,1.05237,41.6482
COG2,1.06305,40.7643
COG3,1.06806,40.1313
COG4,1.05976,40.5079
COG5,1.05795,41.4938
COG6,5.80841,37.3635
COG7,1.05903,41.3486
COG8,1.06131,42.3605
COIL,4.22536,39.9437
COLQ,6.15167,41.7771
COMP,6.00064,42.655
COMT,0.446183,39.1119
COP1,3.79926,40.0042
COPA,1.98532,40.263
COPE,1.83214,40.7992
COQ3,0.734352,43.4607
COQ4,5.55461,45.5801
COQ5,0.0475877,44.3761
COQ6,2.04502,45.2201
COQ7,4.77305,48.2954
COQ9,0.636165,40.8427
CORT,1.27469,43.4538
CPA2,6.2513,43.716
CPA4,2.38976,41.8223
CPA5,0.028283,42.3883
CPA6,6.03949,42.882
CPB2,6.19523,45.479
CPN1,4.52747,46.3073
CPOX,2.19316,44.9272
CPS1,2.19715,39.365
CPT2,1.31201,41.3995
CPVL,1.14137,41.3233
CR1L,4.98723,58.1311
CRAT,2.02581,46.7489
CRB1,3.88679,44.6909
CRB3,0.622209,41.2251
CRBN,3.50263,42.667
CRCP,3.594,41.8498
CREM,4.87334,40.6245
CRKL,1.57135,38.7786
CRNN,1.80355,41.8581
CROT,5.85049,43.5346
CRY1,4.38328,39.9529
CRY2,5.34436,40.1538
CRYM,5.71813,46.1531
CRYZ,2.17614,41.1358
CSAD,2.36422,43.4238
CSF1,5.46327,42.6125
CSF2,1.54283,44.8036
CSF3,4.72852,44.947
CSH1,0.799471,45.1962
CSH2,0.799051,44.3247
CSN2,4.43756,43.5419
CSN3,4.82896,43.7329
CST1,1.17289,40.0431
CST2,1.8095,41.4712
CST3,6.25659,44.1531
CST4,1.17807,40.2838
CST5,1.17053,43.5209
CST6,5.73625,40.5115
CST7,0.266037,43.4362
CST9,6.25272,43.8941
CSTA,6.0526,44.13
CSTB,2.18633,42.9055
CT55,5.05897,40.1391
CTBS,6.03388,45.8405
CTC1,5.62293,42.1086
CTCF,3.71452,41.0761
CTF1,6.09182,45.1831
CTGF,6.21531,41.9015
CTIF,5.20536,43.8248
CTNS,4.54599,48.1405
CTR9,3.57815,38.8337
CTRC,5.452,42.7186
CTRL,6.18566,43.7248
CTSA,0.634572,38.9898
CTSB,6.25547,40.6277
CTSC,3.00005,41.6106
CTSD,1.39844,40.4524
CTSE,5.76593,42.6175
CTSF,6.02817,42.9051
CTSG,6.06168,40.8226
CTSH,6.05408,41.828
CTSK,6.04391,43.3241
CTSL,6.05398,40.7676
CTSO,5.79007,45.2017
CTSS,1.17084,43.5007
CTSV,6.03812,41.4554
CTSW,0.601521,49.4138
CTSZ,5.37997,41.4669
CTTN,1.65393,37.2965
CTU1,5.78154,41.0678
CTU2,4.65982,41.4147
CUBN,0.577152,45.4307
CUL1,3.50125,37.6761
CUL2,2.57043,39.4117
CUL3,3.49752,38.2062
CUL5,3.50279,39.4223
CUL7,4.29572,41.8997
CUL9,1.92812,44.3312
CUTA,5.99736,41.2189
CUTC,5.8498,41.1939
CUX1,1.44668,40.3165
CUX2,4.05339,47.6761
CYBA,1.72659,43.481
CYBB,1.2316,43.9453
CYC1,1.37103,38.9003
CYCS,1.92936,39.6679
CYGB,5.57177,43.8701
CYLD,1.56962,41.6143
CYS1,5.59529,48.0224
DAB1,4.84817,39.0074
DAB2,2.4733,40.1326
DAD1,0.27355,42.3787
DAG1,0.271803,40.2283
DAOA,2.41478,59.1506
DAP3,3.68907,39.494
DARS,2.8468,39.7821
DAXX,4.35289,37.5547
DAZ1,4.82575,44.3752
DAZ2,4.77762,48.2698
DAZL,4.81744,47.0387
DBF4,3.10697,42.2171
DBN1,2.45501,36.7323
DBNL,2.74752,40.4033
DBR1,3.82104,44.5135
DBX1,0.318651,58.0677
DCP2,6.17715,41.2271
DCPS,2.38515,41.0619
DCTD,4.51266,43.0322
DCXR,2.22423,43.0709
DDA1,3.49146,41.6542
DDB1,3.50871,38.2004
DDB2,3.55947,39.704
DDI1,2.96084,41.609
DDI2,2.88225,41.7174
DDR1,4.34307,39.9696
DDR2,1.61349,43.2664
DDTL,3.01737,46.0101
DDX1,3.23797,38.5794
DDX4,3.43965,44.8632
DDX5,3.66484,38.1749
DDX6,4.99058,38.3897
DEDD,1.7423,43.9267
DEF6,5.22735,39.7834
DEF8,1.81753,40.6926
DENR,3.5201,40.5246
DERA,2.13301,41.9101
DET1,3.49187,41.6394
DEXI,0.461313,44.4651
DFFA,2.34921,40.2263
DFFB,2.04871,43.0667
DGKA,1.86565,45.4631
DGKB,1.4549,46.7521
DGKD,2.11112,43.2463
DGKE,3.44783,44.6428
DGKH,0.178208,44.3498
DGKI,1.64322,48.2053
DGKQ,2.13221,43.5813
DGKZ,1.6578,43.7373
DHDH,2.10274,46.9688
DHFR,1.97292,44.8813
DHPS,2.56075,40.05
DHX8,4.08229,40.1581
DHX9,3.60387,37.6795
DIO2,1.36494,44.8464
DIS3,2.58018,40.6394
DKC1,3.73394,38.4082
DKK1,5.64933,42.0632
DKK2,5.48643,46.64
DKK3,6.0705,39.6675
DKK4,0.813974,43.9527
DLAT,1.85865,41.0706
DLC1,1.13725,43.2603
DLG1,5.59956,39.5456
DLG2,6.01379,41.0403
DLG3,5.5327,39.3586
DLG4,5.98931,38.7851
DLG5,4.66421,41.463
DLK1,0.810411,38.7026
DLK2,0.00581705,40.6518
DLL1,1.45867,42.8626
DLL3,4.66427,45.8225
DLL4,3.13648,46.0572
DLST,1.85587,41.1693
DLX1,4.01078,48.1244
DLX2,4.57071,46.2428
DLX3,1.61974,45.9002
DLX4,6.2114,46.898
DLX5,4.07589,45.849
DMC1,4.52084,41.8331
DMKN,0.820542,43.0212
DMPK,1.84298,41.9362
DMTN,3.0016,41.8312
DMWD,0.707221,41.3371
DNA2,6.14461,41.4793
DND1,1.45184,43.2037
DNER,2.66903,46.4846
DNLZ,2.28191,42.2686
DNM1,1.47489,39.4313
DNM2,1.49422,38.3254
DNM3,0.924501,40.1112
DNTT,3.87831,43.8551
DOHH,2.95767,43.6574
DOK1,1.55385,40.5636
DOK2,1.51507,40.7849
DOK3,4.99751,41.2427
DOK4,4.70654,41.0274
DOK5,1.63088,44.3448
DOK6,4.88731,42.2122
DOK7,6.22883,46.2269
DOLK,0.335571,40.7185
DPCD,3.70309,45.6968
DPF1,4.22426,43.857
DPF2,4.21694,40.3147
DPF3,4.23732,41.6181
DPH1,2.04066,41.5318
DPH2,2.5921,41.4871
DPH3,6.04572,43.322
DPH5,2.30143,43.6183
DPH6,0.197368,43.4445
DPH7,3.44131,43.4883
DPM1,2.10199,42.1296
DPM3,0.69526,42.8715
DPP3,2.26278,42.6685
DPP4,6.19234,42.8585
DPP6,1.42579,46.7092
DPP7,2.18549,44.3603
DPP8,2.57555,41.6291
DPP9,2.09422,40.1891
DPYD,1.86752,44.2665
DPYS,1.81909,44.3804
DQX1,5.9449,42.4774
DRC1,3.04984,45.1013
DRC3,5.2358,48.6571
DRC7,4.92483,46.8239
DRD1,1.19422,43.9841
DRD2,1.19466,41.8351
DRD3,1.19183,43.2041
DRD4,1.61146,45.2474
DRD5,0.0781135,45.197
DRG1,3.24135,41.451
DRG2,3.25753,42.7473
DSC1,2.40488,43.5641
DSC2,2.40482,43.2573
DSC3,2.40482,44.4459
DSG1,2.41021,41.9665
DSG2,2.44,41.2216
DSG3,2.07143,44.7436
DSG4,2.06966,40.5808
DSN1,3.43507,40.2006
DSTN,2.52404,38.5602
DTD1,2.6476,43.8559
DTD2,3.17544,58.0233
DTNA,2.4218,41.8265
DTNB,5.01951,39.2887
DTX1,1.39964,42.7483
DTX2,4.99825,37.8581
DTX3,4.51952,40.7736
DTX4,1.56584,49.4318
DUS2,2.61468,45.7144
DVL1,5.89256,39.109
DVL2,5.8777,37.2028
DVL3,4.54239,36.878
DYSF,3.23237,41.3874
E2F1,3.59239,38.1341
E2F2,3.60096,42.4448
E2F3,3.57594,42.6157
E2F4,3.60994,41.1859
E2F5,3.59512,43.4215
E2F6,4.10001,40.6562
E2F7,4.36746,45.3747
E2F8,4.6446,44.6767
E4F1,3.94043,39.1761
EAF1,4.76297,38.4341
EAF2,4.75807,42.0838
EAPP,3.90124,41.8875
EBF1,4.7422,44.134
EBF2,4.5319,46.0394
EBF3,4.53159,44.6068
EBF4,4.16084,47.0345
EBI3,5.99722,45.1656
EBPL,0.479694,58.7402
ECE1,6.27369,40.9047
ECE2,4.72135,43.2906
ECH1,2.37137,40.9467
ECI1,2.21975,44.2309
ECI2,1.09472,41.5379
ECM1,5.63906,39.2456
ECT2,2.98922,40.8852
EDAR,0.385594,44.6893
EDC3,3.04311,41.3503
EDC4,3.22192,40.3504
EDF1,1.89948,42.8428
EDN1,1.21195,44.0868
EDN2,1.2027,45.6286
EDN3,0.965007,46.9982
EEA1,2.67328,40.1019
EEF2,3.24658,38.0284
EFL1,2.51817,41.1088
EGFR,1.67217,35.1539
EGR1,4.06439,40.1004
EGR2,4.26315,44.1674
EGR4,4.07132,45.598
EHD1,1.83743,39.6222
EHD2,2.85891,43.1064
EHD3,1.01725,45.5574
EHD4,2.12328,40.2339
EI24,0.627402,44.9205
EID1,2.95854,42.2546
EID2,3.98116,45.2363
EID3,2.58288,42.283
EIF1,3.28724,43.5052
EIF5,2.31598,39.9997
EIF6,3.2593,36.8352
ELF1,4.03813,43.3555
ELF2,4.26801,44.0479
ELF3,2.08251,40.318
ELF4,4.08681,43.2906
ELF5,4.45225,45.6426
ELK1,3.97028,40.9184
ELK3,3.9824,42.7578
ELK4,3.99851,42.9902
ELL2,4.21438,42.1403
ELL3,4.21011,42.698
ELOA,5.2232,39.7268
ELOB,2.59915,40.5498
ELOC,3.13132,39.2146
ELP1,2.87814,40.5245
ELP2,2.78207,41.6907
ELP3,3.18457,41.1271
ELP4,2.89482,44.3386
ELP5,4.81605,45.2457
ELP6,2.89586,41.7222
EMC1,0.398935,41.5005
EMC2,3.52449,38.6676
EMC3,0.396095,41.0368
EMC4,0.398983,42.3316
EMC6,0.605606,40.8984
EMC7,0.383641,40.4593
EMC8,0.381787,41.9621
EMC9,0.399203,43.3143
EMCN,0.778967,45.7141
EME1,3.18724,41.2806
EME2,5.74646,49.4786
EMG1,3.41162,42.3723
EML1,2.19849,44.1187
EML2,3.55462,42.1548
EML3,3.54723,43.2915
EML4,2.19295,42.5592
EML5,3.09595,46.1522
EML6,5.9615,47.0932
EMP1,0.473779,39.5968
EMP3,0.491876,40.5168
EMSY,4.0097,41.1621
EMX2,3.07556,46.9354
ENAH,3.47063,41.6219
ENC1,3.40158,43.7236
ENO1,2.24284,38.8437
ENO2,2.22588,39.485
ENO3,2.22813,40.6241
ENSA,2.13442,41.0707
ENY2,2.67799,43.146
EOGT,6.0588,41.5559
EPC1,4.25703,41.4982
EPC2,4.27263,42.5906
EPG5,2.92172,48.3912
EPGN,0.382844,44.1164
EPN1,2.25412,41.2264
EPN2,5.65352,40.3661
EPN3,5.67678,40.5724
EPOP,4.30848,46.3748
EPOR,1.55421,41.19
EPRS,2.61396,38.7894
EPS8,4.59526,40.5549
ERAS,5.01831,47.5257
ERC1,1.88719,40.6945
ERC2,2.12749,44.0442
EREG,0.471552,43.6917
ERFE,5.9512,46.3366
ERI1,3.25451,43.0749
ERI2,2.97565,47.1288
ERI3,2.88865,43.535
ERMN,2.89261,46.8083
ERN1,6.19037,41.5328
ERN2,5.95832,47.0526
ESAM,0.377175,44.2672
ESF1,4.3094,43.4675
ESM1,5.35184,42.7325
ESPN,3.50451,43.4684
ESR1,4.04763,36.1422
ESR2,4.10227,40.6778
ESS2,4.29458,41.003
ETF1,2.67159,39.8795
ETFA,1.94481,39.0845
ETFB,2.20188,41.4535
ETS1,4.00266,39.4794
ETS2,3.17388,42.2727
ETV1,4.14971,43.2323
ETV2,3.06998,58.2281
ETV3,0.270089,43.8003
ETV4,3.981,44.4584
ETV5,4.19116,43.2074
ETV6,4.10775,41.8026
ETV7,2.67019,47.1952
EVI5,5.23624,41.643
EVPL,2.0581,40.3055
EVX1,3.19181,58.0236
EVX2,5.04547,44.1306
EXD1,3.55462,58.0399
EXD2,0.951748,43.7871
EXO1,3.00444,42.0527
EXOG,1.10885,42.4791
EXT1,6.22551,41.2342
EXT2,6.19327,40.9604
EYA1,3.05038,43.384
EYA2,4.89793,40.5555
EYA3,3.67569,44.9791
EYA4,4.314,46.1689
EZH1,4.34562,45.4733
EZH2,4.36505,38.319
F11R,0.683971,40.8904
F13B,2.383,46.8723
F8A1,1.94306,58.1896
F8A3,2.21079,48.4982
FA2H,0.547996,41.4452
FAAH,5.41068,47.7524
FADD,1.75033,39.0942
FAF1,3.85055,38.9588
FAF2,1.0248,38.3104
FAIM,5.26845,43.8596
FAN1,3.4336,41.4052
FAR1,1.46159,44.4023
FAR2,0.116159,42.7249
FASN,2.32177,40.5536
FAT1,6.10778,40.9953
FAT3,6.10504,41.6151
FAT4,6.12396,41.8507
FBF1,5.01281,40.182
FBH1,3.49627,46.1306
FBN1,5.64642,41.4385
FBN2,5.65143,42.5508
FBN3,2.10035,42.9309
FBP1,1.39235,41.1132
FBP2,4.20167,47.0437
FBRS,4.10906,42.7304
FCAR,1.25896,44.1148
FCF1,2.09432,39.3933
FCN1,6.23962,41.8794
FCN2,6.22375,45.5144
FDPS,2.26583,40.3284
FDX1,2.70945,44.2967
FDX2,4.79509,46.4579
FDXR,2.00933,41.8055
FECH,2.01178,41.3942
FEN1,3.23961,39.9206
FEZ1,2.1136,39.181
FEZ2,4.23953,44.0631
FGD1,0.732223,42.5014
FGD2,0.484392,45.3447
FGD3,3.09028,46.9412
FGD4,2.40286,44.857
FGD6,1.78211,42.9209
FGF1,6.20273,41.238
FGF2,6.20306,40.22
FGF3,3.75272,39.9383
FGF4,1.50095,45.6062
FGF5,1.49678,44.7709
FGF6,1.49318,44.9717
FGF7,1.49147,44.4393
FGF8,3.7498,38.6176
FGF9,2.13076,42.8928
FGGY,4.76299,47.8263
FGL1,2.03873,39.1518
FGL2,4.67329,43.2846
FHIT,1.97198,43.095
FHL1,4.11862,41.3881
FHL2,4.72404,36.9764
FHL3,4.64421,36.987
FHL5,5.34685,38.5991
FIBP,0.857961,41.7046
FICD,2.21056,48.7864
FIG4,1.1034,43.4004
FIGN,3.99434,43.4111
FIS1,0.633806,41.0599
FIZ1,1.3964,45.0453
FKRP,0.0359163,41.9985
FKTN,0.296321,46.291
FLCN,0.984392,43.2628
FLG2,2.82799,46.4494
FLI1,4.14907,42.9426
FLII,2.47655,40.019
FLNA,2.43554,36.0834
FLNB,2.49632,37.2565
FLNC,2.9848,39.3775
FLT1,1.51779,41.0633
FLT3,1.58171,41.8111
FLT4,0.963436,40.9738
FMC1,1.92719,43.5033
FMN1,0.718626,45.2632
FMN2,1.44965,43.0472
FMO1,0.605709,45.5326
FMO2,1.17307,48.0337
FMO3,0.483618,46.2855
FMO4,0.727915,48.5627
FMO5,1.86004,44.8072
FMOD,1.98819,48.5018
FMR1,3.18083,40.3881
FN3K,2.67328,58.0272
FNTA,2.39649,41.8434
FNTB,2.37626,39.4684
FOSB,4.85803,41.6879
FPGS,6.21722,44.0011
FPGT,3.99012,48.4177
FPR1,1.70483,44.3706
FPR2,0.0315982,38.4032
FPR3,1.71315,46.6274
FRG1,4.68577,44.2898
FRS2,1.52797,41.7674
FRS3,5.22088,38.2612
FRYL,3.44803,41.9229
FRZB,2.60438,43.5281
FSBP,4.95836,41.8015
FSD1,2.68051,39.8319
FSD2,5.48101,38.3552
FSHB,0.227415,46.8433
FSHR,0.224441,41.2204
FTCD,4.7296,44.9723
FTH1,6.02753,38.9866
FUOM,4.13262,42.9641
FUT1,0.0361666,42.1467
FUT2,2.02264,58.1224
FUT3,0.0272939,41.4447
FUT4,0.0422579,46.3031
FUT7,0.520812,47.6914
FUT8,0.132888,40.9577
FUT9,0.103924,43.5053
FXR1,4.61427,38.7781
FXR2,4.65271,37.9648
FYB1,1.6495,43.4756
FZD1,0.0415718,41.5522
FZD2,0.109261,41.331
FZD3,0.0465724,40.4691
FZD4,0.00609124,42.991
FZD5,6.17571,43.2874
FZD6,0.0430859,41.9568
FZD7,0.210061,41.0204
FZD8,0.0778093,43.7043
FZD9,6.15333,44.6174
FZR1,3.1768,38.9149
G0S2,0.674493,46.3479
G2E3,2.94358,46.2575
G6PC,4.02327,48.5117
G6PD,2.28606,39.4428
GAB1,1.53081,40.1779
GAB2,1.57177,41.629
GAB3,1.5406,46.8373
GAD1,0.754569,41.4246
GAD2,0.694687,39.4728
GALC,4.24514,43.0263
GALE,2.14599,42.8041
GALM,2.17028,45.028
GALP,0.888458,46.2107
GALT,2.25679,43.8062
GAMT,2.04674,45.0603
GANC,2.97239,47.4918
GAR1,3.72937,39.2245
GARS,2.66149,39.208
GART,2.41804,39.9319
GAS1,2.0646,46.8924
GAS2,2.32503,45.5703
GAS6,0.0246564,41.1674
GAS7,3.46493,43.1863
GAS8,5.2015,38.0304
GAST,0.5684,40.7559
GATB,0.702408,43.5836
GATC,2.04991,41.2884
GATM,5.73611,48.6449
GBA2,1.36342,43.7066
GBE1,2.00027,41.552
GBF1,1.03964,40.1416
GBP1,2.35659,42.5341
GBP2,2.36372,40.2304
GBP3,1.49257,46.1407
GBP5,0.949866,43.5987
GBP6,1.41598,45.902
GBP7,0.71875,45.3615
GBX2,0.0627406,47.9845
GCAT,1.73976,45.0783
GCC1,4.71376,38.9629
GCC2,3.4392,41.6423
GCDH,1.58941,44.9387
GCGR,6.19406,46.4019
GCH1,2.00849,43.4864
GCKR,5.7569,46.5761
GCLC,2.09142,44.9986
GCLM,2.08576,42.0146
GCM1,4.18027,44.9846
GCM2,4.88767,40.8465
GCN1,1.98535,39.2479
GCNA,4.25627,58.5694
GCSH,5.80005,42.3385
GDE1,0.165032,42.0551
GDF2,1.2137,57.976
GDF3,6.09656,45.8014
GDF5,2.06335,41.2741
GDF6,1.86666,46.0356
GDF7,6.12441,57.993
GDF9,2.3697,39.8015
GDI1,1.92517,39.0237
GDI2,2.19625,39.9501
GDNF,6.00093,41.5153
GET4,2.06099,39.3386
GFAP,5.05553,38.4281
GFER,1.86479,40.9695
GFI1,4.00288,42.3448
GFM1,1.92219,43.0059
GFM2,0.764934,42.0791
GGA1,1.92022,39.9574
GGA2,1.41918,42.2294
GGA3,4.95905,42.2327
GGCT,2.29982,45.4937
GGCX,6.19804,42.1218
GGT1,0.818141,46.2108
GGT2,0.818141,57.8005
GGT5,0.227453,45.3748
GGT6,0.671835,43.4162
GGT7,0.0944629,40.9396
GHDC,0.27488,41.3151
GHRH,6.14193,47.4225
GHRL,1.0917,43.8291
GHSR,1.09493,46.4611
GID4,6.0195,40.9562
GID8,6.021,40.8619
GIN1,4.3576,48.1991
GIPR,6.19228,45.8946
GIT1,2.83751,39.2941
GIT2,1.82259,40.7579
GJA1,0.243394,39.9208
GJA3,1.72676,46.2886
GJA4,0.64675,45.1171
GJA5,0.458501,41.0301
GJA8,0.302145,37.6091
GJB1,0.48142,39.9023
GJB2,0.434425,39.7686
GJB3,0.441442,42.9737
GJB4,0.454865,43.5736
GJB5,0.513578,40.8993
GJB6,0.485024,43.717
GJB7,1.18042,39.576
GJC1,0.142646,41.8952
GJC3,0.712567,46.6869
GJD4,0.419922,48.4887
GK3P,0.320554,57.9134
GKN1,0.529568,42.3607
GKN2,0.372877,45.6637
GLB1,1.97172,40.6087
GLCE,6.27593,44.9219
GLDC,1.91841,43.3799
GLE1,2.74579,42.3068
GLG1,0.0161837,42.4061
GLI1,4.73346,40.991
GLI2,4.63976,42.3543
GLI3,3.07062,41.8692
GLI4,5.52116,46.4832
GLMN,0.850637,38.8675
GLMP,0.899232,39.0372
GLO1,2.29316,41.0316
GLRB,0.113068,42.9505
GLRX,2.23493,41.8262
GLS2,3.17079,44.788
GLTP,5.65757,44.4109
GLUL,4.69033,43.179
GM2A,4.4189,41.7974
GMDS,2.32498,41.3336
GMFB,1.73217,41.7872
GMFG,1.34087,45.3165
GMIP,5.02949,46.6811
GMNC,3.54054,58.0558
GMNN,3.60894,39.5756
GMPR,1.77704,57.9628
GMPS,2.19209,40.5954
GNAL,0.337789,45.0131
GNAQ,1.20003,38.2952
GNAS,1.19945,38.7689
GNAZ,0.914933,39.6271
GNB1,1.19767,39.1417
GNB2,1.18869,37.7148
GNB3,1.18701,41.6274
GNB4,1.18957,40.0865
GNB5,2.17112,40.9271
GNG2,1.19629,41.7406
GNG3,1.19555,41.5943
GNG4,1.18178,41.7899
GNG5,1.19543,41.0466
GNG7,1.18351,42.4779
GNG8,1.17514,48.7568
GNL1,3.31782,41.4832
GNL2,3.75564,40.5947
GNL3,3.34945,39.6664
GNLY,0.437989,46.8355
GNMT,4.54561,41.6777
GON7,2.53924,42.5419
GOPC,5.88785,37.5595
GOT1,2.27139,39.8698
GOT2,2.54296,40.8058
GPAM,6.16475,43.365
GPC1,6.19158,41.3022
GPC3,6.20399,41.6885
GPC4,6.2098,42.3047
GPC6,6.20997,43.0115
GPD1,1.0012,43.5462
GPD2,0.962611,41.7554
GPHN,5.95381,40.9624
GPN1,3.55365,41.3096
GPN2,3.55907,44.182
GPN3,3.57474,39.984
GPR1,6.07207,46.6935
GPR3,0.385992,46.4329
GPR6,1.56083,48.1275
GPS1,3.49482,40.6503
GPS2,4.82239,38.9755
GPT2,2.27918,43.8436
GPX1,1.705,44.0888
GPX3,1.08273,48.7491
GPX4,2.21236,41.52
GPX7,0.862295,40.2162
GPX8,0.51824,37.4845
GRAP,1.55224,41.4284
GRB2,1.53954,35.447
GRB7,1.51886,40.0557
GRK1,1.57294,42.8801
GRK2,1.66926,38.1455
GRK3,1.21421,42.3415
GRK4,1.1127,43.8092
GRK5,1.66419,39.8145
GRK6,0.772047,40.0121
GRK7,1.61856,44.9905
GRM1,1.475,42.5808
GRM2,0.538919,41.9605
GRM3,5.82983,45.1913
GRM5,1.64903,44.1649
GRM6,1.18954,49.5581
GRM7,1.18931,43.7871
GRPR,0.113367,39.5479
GSAP,6.07073,48.7759
GSC2,5.61299,39.0269
GSE1,4.71111,41.0739
GSG1,0.732412,43.1073
