broad_id,InChIKey,Target,TTD Target
BRD-K82677201,OBDOVFRMEYHSQB-UHFFFAOYSA-N,ATP1A1,
BRD-K84810405,DKMACHNQISHMDN-RPLLCQBOSA-N,"HCRTR1, HCRTR2",
BRD-K67601717,WKEMJKQOLOHJLZ-UHFFFAOYSA-N,"HTR1B, HTR1D",
BRD-K04851519,YDQWDHRMZQUTBA-UHFFFAOYSA-N,CASP8,"P2RY12, Viru rep, EPHX2, ACHE"
BRD-K83003151,ZSBOMTDTBDDKMP-OAHLLOKOSA-N,DPP4,"DPP4, CYP3A4, PREP, DPP7, CYP2D6, DPP8, FAP, CYP2C9, DPP9"
BRD-K02074536,AFHJQYHRLPMKHU-OSYMLPPYSA-N,,
BRD-K96391852,SKOLRLSBMUGVOY-GBJTYRQASA-N,,
BRD-K46742498,JSWZEAMFRNKZNL-UHFFFAOYSA-N,HTR3A,"KCNH2, CYP3A4, HTR3A, CYP2D6, CYP2B6, CYP2C9"
BRD-K00004697,UXCAQJAQSWSNPQ-XLPZGREQSA-N,,
BRD-K91188791,SRVFFFJZQVENJC-IHRRRGAJSA-N,CTSG,"CTSG, CAPN1"
BRD-K54997624,STUWGJZDJHPWGZ-LBPRGKRZSA-N,"PIK3CA, PIK3CB, PIK3CD, PIK3CG","PIK3CG, ATM, CYP3A4, PRKDC, PIK3CB, TP53, PIK3CA, MTOR, ATR, PIK3CD"
BRD-K72536715,RKFAZBXYICVSKP-AATRIKPKSA-N,HMGCR,
BRD-K87424134,WQZGKKKJIJFFOK-DVKNGEFBSA-N,,
BRD-K00005238,IMMBLRJLSYJQIZ-RBWYFKFWSA-N,,
